x,PBS,PBA,PBS79/A21,PBS59/A41,PBS50/A50,PBS39/A61,PBS21/A79
"1247,52","90,872","13,377","79,017","66,202","53,228","39,487","26,322"
"1252,84","90,871","11,078","79,273","66,027","53,595","39,073","23,38"
"1254,52","90,912","10,493","79,373","66,034","54,035","39,168","23,877"
"1255,88","90,96","10,111","79,459","66,081","54,475","39,342","24,477"
"1256,66","90,993","9,942","79,51","66,137","54,743","39,484","24,864"
"1256,69","90,994","9,937","79,512","66,139","54,751","39,489","24,876"
"1260,46","91,217","9,885","79,773","67,045","55,904","40,592","26,905"
"1264,86","91,594","11,939","80,099","68,998","56,799","42,659","29,305"
"1264,97","91,605","12,024","80,108","69,022","56,817","42,717","29,363"
"1268,39","91,972","15,181","80,373","69,533","57,304","44,53","31,101"
"1268,86","92,025","15,622","80,41","69,58","57,362","44,747","31,326"
"1269,86","92,139","16,524","80,489","69,669","57,479","45,151","31,793"
"1275,2","92,76","21,036","80,922","69,971","58,008","46,025","33,964"
"1277,38","93,001","22,355","81,101","70,04","58,185","46,04","34,651"
"1280,55","93,321","22,651","81,365","70,101","58,405","46,07","35,416"
"1280,72","93,336","22,663","81,379","70,103","58,415","46,075","35,449"
"1285,28","93,67","22,946","81,761","70,128","58,644","46,283","36,094"
"1285,39","93,676","22,952","81,77","70,128","58,649","46,289","36,105"
"1294,03","93,278","23,402","82,371","69,956","58,661","46,648","36,157"
"1296,08","92,628","23,5","82,406","69,831","58,494","46,624","35,97"
"1298,57","91,061","23,615","82,296","69,576","58,025","46,431","35,635"
"1299,4","90,244","23,652","82,193","69,447","57,75","46,292","35,495"
"1300,09","89,436","23,683","82,068","69,312","57,447","46,137","35,366"
"1302,01","87,043","23,767","81,305","68,715","56,078","45,521","34,911"
"1303,51","86,164","23,832","76,055","68,001","55,263","44,976","34,358"
"1304,05","86,081","23,854","75,504","67,733","55,143","44,802","34,135"
"1304,28","86,07","23,864","75,443","67,622","55,11","44,734","34,057"
"1304,94","86,095","23,892","75,448","67,319","55,053","44,557","33,898"
"1306,11","86,279","23,939","75,695","66,838","55,038","44,311","33,748"
"1307,03","86,502","23,976","75,967","66,503","55,07","44,17","33,683"
"1311,66","87,883","24,154","77,362","65,418","55,439","43,95","33,579"
"1313,89","88,426","24,232","77,836","65,303","55,625","44,022","33,608"
"1317,49","88,748","24,348","78,104","65,713","55,785","44,249","33,759"
"1317,82","88,727","24,358","78,089","65,77","55,784","44,274","33,781"
"1318,35","88,673","24,374","78,051","65,862","55,774","44,316","33,82"
"1320,17","88,314","24,425","77,786","66,152","55,659","44,466","33,998"
"1323,74","87,013","24,51","76,803","66,229","55,118","44,79","34,7"
"1328,75","84,947","24,593","74,885","64,685","54,445","45,271","36,044"
